******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.142361111, 705780.458832, -729392.914117, -336888.479682
2460311.143055555, 706202.536565, -729006.919001, -336614.691079
2460311.143750000, 706621.639534, -728620.648490, -336343.180191
2460311.144444444, 707037.850819, -728234.102524, -336074.037911
2460311.145138889, 707451.256536, -727847.281046, -335807.352253
2460311.145833333, 707861.945738, -727460.184000, -335543.208242
2460311.146527778, 708270.010308, -727072.811333, -335281.687826
2460311.147222222, 708675.544859, -726685.162996, -335022.869775
2460311.147916667, 709078.646621, -726297.238941, -334766.829593
2460311.148611111, 709479.415329, -725909.039126, -334513.639430
2460311.149305556, 709877.953107, -725520.563512, -334263.368001
2460311.150000000, 710274.364353, -725131.812062, -334016.080506
2460311.150694444, 710668.755615, -724742.784748, -333771.838554
2460311.151388889, 711061.235471, -724353.481542, -333530.700096
2460311.152083333, 711451.914403, -723963.902423, -333292.719353
2460311.152777778, 711840.904669, -723574.047375, -333057.946758
2460311.153472222, 712228.320173, -723183.916387, -332826.428895
2460311.154166667, 712614.276337, -722793.509454, -332598.208448
2460311.154861111, 712998.889965, -722402.826576, -332373.324150
2460311.155555556, 713382.279109, -722011.867761, -332151.810739
2460311.156250000, 713764.562934, -721620.633020, -331933.698917
2460311.156944444, 714145.861581, -721229.122374, -331719.015317
2460311.157638889, 714526.296028, -720837.335849, -331507.782468
2460311.158333333, 714905.987951, -720445.273478, -331300.018772
2460311.159027778, 715285.059582, -720052.935301, -331095.738480
2460311.159722222, 715663.633574, -719660.321366, -330894.951680
2460311.160416667, 716041.832851, -719267.431728, -330697.664276
2460311.161111111, 716419.780475, -718874.266449, -330503.877990
2460311.161805556, 716797.599499, -718480.825602, -330313.590353
2460311.162500000, 717175.412826, -718087.109263, -330126.794710
2460311.163194444, 717553.343069, -717693.117521, -329943.480227
2460311.163888889, 717931.512407, -717298.850469, -329763.631900
2460311.164583333, 718310.042445, -716904.308213, -329587.230574
